App_Name,installs,score,ratings,reviews,Size (MB),Android_Version,developer,contentRating,containsAds,Released Date
Prottoy - Visual Learning App,5000,3.1,248487,89,55.0,5,Prottoy Edtech,Everyone,FALSE,21-02-2021
Crash Course,100000,4.6,2384,198,55.0,4.4,Complexly LLC,Everyone,FALSE,30-04-2020
Noon Academy – Student Learning App,10000000,4.3,103191,459,52.0,5,Noon Academy,Everyone,FALSE,12-03-2017
EdTech,500,3.1,248487,89,5.7,6,DELLHOAK,Everyone,FALSE,20-05-2021
Ghoori Learning-Online Courses,10000,4.3,456,7,5.2,5,Dotlines,Everyone,FALSE,03-01-2022
LearnVern Online Courses,500000,4.5,18618,18,47.0,5,LearnVern,Everyone,FALSE,09-11-2016
WinjiGo StudentKit,5000,3.1,248487,89,47.0,4.2,ITWorx Education,Everyone,FALSE,27-04-2017
Digital Coach - IBA DU,5000,4.7,234,8,45.0,5,Thrive EdTech,Everyone,FALSE,26-01-2022
HOMER Learn & Grow,1000000,4.1,4571,1383,44.0,5,Homer Learning,Everyone,FALSE,15-11-2017
Teachmint - The Classroom App,10000000,4.0,134739,25,44.0,5,Teachmint Technologies,Everyone,FALSE,13-06-2020
Richmond Learning Platform,10000,3.1,248487,89,452.9,6,"Grupo Santillana Educación Global, S.L.",Everyone,FALSE,07-11-2019
LinkedIn Learning: Online Courses to Learn Skills,5000000,4.8,76453,1685,452.9,5,LinkedIn,Everyone,FALSE,22-09-2016
ABC Academy BD,10000,5.0,116,3,4.7,6,Real Time Solution,Everyone,FALSE,27-07-2021
Bluelogic EdTech ERP,500,3.1,248487,89,4.7,5.1,Bluelogic solution,Everyone,FALSE,06-06-2020
Chegg Study - Homework Help,1000000,3.8,32033,7081,39.0,7,"Chegg, Inc.",Everyone,FALSE,19-08-2013
EduRev Exam Preparation App: Learning & Mock Tests,1000000,4.5,50941,24,39.0,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,15-12-2014
Shaw Academy - Online Courses With Certification,1000000,3.7,53044,3183,38.0,5,Shaw Academy - Interactive Online Courses,Everyone,FALSE,06-06-2017
Sololearn: Learn to Code,10000000,4.5,554749,19226,36.0,5,Sololearn,Teen,TRUE,25-10-2016
Cursa - Online courses,1000000,4.7,42862,258,34.0,5,MedTech Cursos livres e ensino online LTDA,Everyone,TRUE,13-02-2017
MasterClass: Learn from the best,1000000,4.4,18982,3707,33.0,5.1,MasterClass Inc.,Teen,FALSE,08-08-2018
Udemy - Online Courses,10000000,4.4,357547,13123,32.0,6,Udemy,Everyone,FALSE,14-01-2014
Skillshare - Creative Classes,1000000,4.3,51403,4298,352.9,5,"Skillshare, Inc",Everyone,FALSE,18-05-2015
Computer Course,1000000,4.2,5631,24,3.6,4.1,InnovApp21,Everyone,TRUE,30-01-2015
Roducate - Great Learning App,50000,4.1,258,7,3.5,5.1,Robert and John Limited,Everyone,FALSE,13-05-2014
Nutrition Course,50000,3.1,248487,89,3.5,4.1,Susanapp,Everyone,TRUE,04-08-2017
Online Courses + Certificate,100000,3.8,318,11,3.5,4,JobboJ APP - job tools,Everyone,TRUE,13-01-2018
Smaterr Learning App,50000,3.4,1640,18,29.0,5,Smaterr,Everyone,FALSE,13-05-2019
mKiddo — Kids Learning App,10000,3.1,248487,89,28.0,5,MoMagic Bangladesh Limited,Everyone,FALSE,20-04-2020
ReSkills,100000,3.1,248487,89,285.0,6,ReSkills EdTech,Everyone,TRUE,06-02-2021
Edukoya - Learning App (beta),100000,4.4,518,5,27.0,7,Edukoya,Everyone,FALSE,30-11-2021
Memrise Easy Language Learning,10000000,4.6,1452079,65279,26.0,7,Memrise,Everyone,TRUE,20-05-2013
CBSE Class 5 App: NCERT Solutions & Book Questions,100000,3.1,248487,89,23.0,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,27-06-2019
CBSE Class 1 App: NCERT Solutions & Book Questions,100000,3.1,248487,89,23.0,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,17-08-2019
WiseeClass,10000,3.1,248487,89,238.0,5,SparkIT Techno Solutions Pvt Ltd,Everyone,FALSE,11-05-2021
CBSE Class 4 App: NCERT Solutions & Book Questions,100000,3.1,248487,89,22.0,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,17-08-2019
EdTech Worx,5000,3.1,248487,89,22.0,4.1,EdTech Worx,Everyone,FALSE,27-05-2019
"IIT JEE, NEET, NCERT Solutions",50000000,4.2,574552,307,22.0,5,Doubtnut: Doubt Solving & Video Solutions App,Everyone,FALSE,14-10-2016
Class 9 Math Science NCERT App,500000,5.0,8374,7,22.0,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,03-02-2017
Cerego,50000,4.2,479,80,22.0,5,Cerego Inc.,Everyone,FALSE,01-03-2016
Think and Learn | Parent Connect,1000000,3.5,8323,5,22.0,4.1,BYJU'S,Everyone,FALSE,21-05-2017
"Learn SEO, SMO, PPC and Digital Marketing course",100000,4.2,2477,25,252.9,5,WsCube Tech,Everyone,TRUE,26-10-2016
Learn Computer Course Offline Free,50000,4.4,191,3,252.9,4.1,skappstudio,Everyone,TRUE,17-03-2021
Epic: Kids' Books & Reading,5000000,4.4,82461,24061,252.9,7,Epic! Creations Inc,Everyone,FALSE,21-05-2015
English Basic - ESL Course,100000,4.6,695,58,16.0,4.1,MobileEnglish,Everyone,TRUE,13-04-2017
Saylor Academy,50000,4.5,232,8,16.0,4.4,Saylor Academy,Everyone,FALSE,20-12-2019
BYJU'S – The Learning App,100000000,4.1,1745108,947,167.0,5,BYJU'S,Everyone,FALSE,06-07-2015
ROOTs Edu,50000,4.1,2047,23,163.0,5,ROOTs IT,Everyone,FALSE,11-08-2020
10 Minute School - Online Learning Courses,1000000,4.1,54691,339,159.0,5,10 Minute School,Everyone,FALSE,26-01-2019
Taleemabad: Learning at Home,1000000,4.3,7084,15,152.0,4.4,Orenda Educational Studios,Everyone,FALSE,10-05-2018
upGrad - Online Learning Courses,1000000,4.4,20206,16,136.0,6,upGrad,Everyone,FALSE,04-05-2016
Classroom,100000,4.6,3007,4,132.0,5,ClassRoom,Everyone,FALSE,29-07-2019
Lurningo - Education App,50000,3.1,248487,89,128.0,5,TeamLease EdTech Ltd.,Everyone,FALSE,31-05-2016
Teams By Lurningo,10000,2.3,1256,2,128.0,5,TeamLease EdTech Ltd.,Everyone,FALSE,20-02-2020
Course with certificate online,10000,4.3,694,13,11.0,4.4,Suman Mondal,Everyone,TRUE,17-02-2021
EdTech Middle East,5,3.1,248487,89,11.0,4.2,Moftah Publishing,Everyone,TRUE,19-12-2019
Wondrium - Learning & Courses,500000,3.5,3395,1107,115.0,8,The Teaching Company,Teen,FALSE,02-08-2015
E-Learning Platform,100000,3.1,248487,89,1.9,4,Alexander Tarigan,Everyone,FALSE,10-11-2019
TeacherTube Educational Videos,10000,3.8,71,17,1.0,2.3.3,Salem Media Group,Everyone,TRUE,05-06-2015
